,review,starts
10,"???????? ??? ????,??? ????? ????????. ??????????! ???????????: 2 ??? ?????, ????? ???????? ?????? ???????????? ?? 8 ??,????? ??????? ???????,????? ??????? ??????,??????? ?????? ???? ????????? ???. ??????????: ??????? ?? ?????? ????????? ??????? ??????? ??????, ??????? ????? ???? ?????????? ??? ???????? .",5
11,"?????? ???????. ??????? ???????. ?????? ??????? ? ???????, ??????? ???????, ?????? — ?? ???????? ?? ????????, ? ??????????? ?? ???????. ? ?????, ???, ??? ????? ?????????? :) ???????????: ??????? ????, ??????? ??????, ??????? ?????? ??????????: ???? ???????",5
12,"??????? ???????? ?????????? ????? ???? ?? ?????? ???????????: ????, ?????? ?????????? ??????????: ?????????? ??????",3
13,"???????? ????????? ?????????, ??????? ?????????, ?? ? ?????? ??????????? ??? ????? ???? ???? ??? ??????? ???????? ???? ????? - ????? ????????, ????? ????????, ? ?.?. ????????? ????? ?????. ???????????: ??????? ??????????: ?? ?????????. ? ???? ?????? ??????? ????? - ?????? ???????? ?????? - ???????? ??????? ?????????? ? ?????? ???????. ???????? ???.",2
14,"? ?????? ??????? ?????? ?? ?????????,?? ??? ???????? ??????? ? ???????? ???????. ??????? ??????. ??????? ?????? ?? ?????????.?????? ???????????. ?? ??????? ???????? ??? ??????! ???????? ????? ?? ????????.(( ???????????: ???? ?? ???????? ??????????: ????!!!",2
15,"? ???????? ????? 20 ??? ???????? ????????, ??? ? ?? ????????. ????? ?????? ????? ???????.",1
16,"???? ?? ??????? ??????????? ??? ????????, ?? ??????????? ???? ???.?? ????? ?????? ??? ???????? ?? 10 ?????2 ??? ?????, ????? ???'???, ?????????? ???'???...? ???????? ??? ?????????.#????????????? ???????????: ????. ??????? ????????. ?????? ???????. ??????????: ?????",5
17,"???????? ????? ???? ??????? ??? ????? 1100, ??? ???????? ? ???? ??????? ?????????? bl-5c?? ????? ?? ?????????, ?????? ??? ??????? ????????????? ?????? ? ???? ???????? ?? 2 ???? ???? ? ???????? ?? 1600????? ??? ?????????? ???????????: ?????? ????????? ???????? ?????, ????, ?????????? ??? ? ???????. ??????????: ??? ???????????",5
18,?????????? https://youtu.be/emhv6spqeao,5
19,"???????? ???????. ?????? ????, ????? ???????? ? ??????? ??? ??????. ?????? ??????????????????? ?? ???? ?? ???????, ?????????? ??????????, ?????? ???????, ?? ???? ?????? ??????? ????????.?????? ??????, ?????? ??????????? ??????. ???????????: ??????? ??????, ???????? ?? ?????. ??????? ????? ?? ?????? ??????????: -",5
20,"????? ??????? ?? ??????? ??? ????.??????? ??????? ?????? ????????,?????????? ???????? ????? ???? ??????????? ? ???????. ???????????: ????,???????. ??????????: ?? ????? ???? ?? ?????? ???.",5
21,?? ????? ???? ??????? ???????,5
22,"?????? ??????? ??? ""?????????-???????? ???"" . ???? ?????? ?? 5 ??????????? ?? ?????? ?????????. ?????? ?????? ? ?? ?????. ???? ????????? ????????? ???????????. ???????????: 2 ?????, ????????? ??????????: ?????????????? ???????",4
23,"? ??????? ?? ?????? ?????? (prestigio wize a1) ?? ????? ??????? ?????? ??????????? ????????? ? ??? ????????????? (?? ?????????? ? ??????? ?????????) ???????! ???? ????? ??????? ??????, ????????? ??????????? ??????, ???? ???????? ? ?????.?????? ?????????? ???????. ? ????????? (??? ? ? ?????? ??????) ??? ???????????.? ????? ??????? ??? ??????? ????????? ????????! ????? ??????? ???, ?????? ?? ?????????, ?? ???????. ???????? ????? ????? ? ??? ????????. ???????????: ?? ???????, ???????, ???????. ??????????: ? ??? ????? ??? ????? ???????? ???????? ?????? 10 ???????? (??????? ??? ?? ????????).",4
24,"??????? ??????? ??? ??????? ?? ??????? ???????????: ?????? ????, ??????? ??????????? ??????? ??????????: ??? ?????, ?????? ???????? ?????????? ???????, ????? ??????? ?????????????? ???????",4
25,"?? ?? ???? ???? ???? ??????????, ????? ?? ??????? ? ????????? ????????? ? ???????????? ????, ??????????? ?????????? ????? ???? ?? ??????, ??????? ???? ?????? ??? ??? ?????? ?? ????????, ?? ??????? ???????????: ??????? ??????????: ????? ??????",4
26,? ????? ? ???????? ????????!!! ???????????: ????? ?????? ??????? ??????????: ??? ?????? ?????????? ???????,5
27,"???????? ??? ???????. ??????? ????????! ???????????: ???????, ?????????????? ??????????: ???",5
28,"???????? ???????. ???????????: ????, ??????? ???, ???, ????????????? mp3 ? avi, fm-????? ??????????: java ???? ?? ???????????????. ? ?????? ?????? , ????? ?????? ?????? ??????? ? ?????????, ?? ?????? ????????? 1 ?? 15. ? ?????? ????? ?????? ????? ??????? ??????",5
29,"?????? ????? ??????). ?????: ??????, ??????? ??????? ,2???, ?????? , ? ??3, ????? ?? ????????? 3.5, ????????, ???????, ??????????))). ????? ?????? ??????? ? ???. ?? ???? ????? ??????? ?????? ????. ? ??????????? ????????? ?? ??? 100. ???????????: ?? ??????? ????? ??????????: ?????????? ?????????? , ??? ????? ??????????? ?????????.",5
30,"??????? ???????? ???????????: ??????? ??????, ?????????? ???? (?? ?????) ??????????: ????????? ?????????? ????? (?????? ?????????? ????????? ????????? ? ?????? ????????)",5
31,"??????? ???????? ? ???????????? ??????? ?? ??????? ???????????: ??????? ???????? ?????????? ???????, ?????? ????, ??????? ??????????? ??????? ??????????: ??? ????? ? ????????, ????????? ??????? ?????????????? ???????",5
32,"??????? ??? ????????? ????????, ?????? ??????? ??? ???????? ????? ??????? ?????. ????????? ???????? bluetooth ? ??? ????????? 15? 6 ???? ? 2????? ?????? ????????? 30? ?????? ???? ???????????. ?????????? ??? ??????? ????????? ????(+,-) ?????????, ????? ?????, ?????, ?????. ???????? ????????? ?????? ??????. ? ????? ???? ?? ? 1 ??????? ??????? ???????? ?????? ?????, ? ???????? ?????? ?????? ?????????? ????????? ????????? ? ???????? ??? ?? ???????????, ???? ??????????? ?????? ??????. ?????? ?????? ????? ??? ?????? ? ???? ???????? ?????????. ?? 3 ??? ????????????? ?????????????? ? ??????? ?????? ???????? ? ??????? ??????? ?? ????? ?????? ?????????.??????????? 5+ ?? ????? ????????????? ???? ?? ???? ?????? ????????????? ???????? ?? ??????????? ?? ??? ??, ????? ??????? ????? ??????????? ???????? ??????? ????????????? ? ?????? ??????. ????? ??? ???? ???????????? ???????? ? ???????????? ?????? ????? ? ????? ????????. ???????????: bluetooth.microsd. ???? (???????????? ? ?????????).????????. ??????????: ???(??? ?? ?????) ????? ?????.",5
33,??? ?? ???????????: ??? ??,5
34,??????? ??????? ?? ???? ???? ??????????: ?? ???? ?????,5
35,???????? ?????? ? ?? ?????? ???????????? ??? ????? ??????? ? ????? ?????? ??? ??? ???? ??????? ????????? ????????? ? ????? ??? ??????) ???????????: ??? ???????? ????????? ??? ??????????: ???? ??? ??? ??? ???????? ? ?? ????????,5
36,"?? ???????? ????? ""???? ???????? 2 ????"". ??????, ?? ????) ?? ???? ??? ??? ??????, ?? ??????? ??? ????? ?????. ??????? ?????????? !!! ???? ?????? ??????? ?? ????? ????, ?? ?????? ????! ?????? ??????????? ?? ????? ?????? ?? ?? ???????! ???????????: ???????. ?????????? ??? ? ???????? ?????????? ???????? (??????, ??????, ?????/????? ?????, ??????????? ?????????? ?????????? ?? ????????, ? ?????? ?? ?????), ?????? ???? ?? ??????????????. ????? ??????. ? ??????? ? ?????? ????? ????? ??????? ????????? ???????, ? ?? ??????? ??? ? ?? ????????. ?????? ??? ???????? ??????? ????? ???????? ?? ??????????? ????????? ? ??????????, ??? ??? ????????? ??????? ???????? ?? ?? (??? ?????????) ???? ???? ????? ?????????, ???? ?????? ?????? 1 ???????. ??? ???????? ????? ?????? - ????? ?? ???????? ???????????. ????? ?????????? ? ?? ? ??????? ???, ??? ??????, ?? ????? ???????, ??? ????? ?????? ? ??????? 3gp. ??????? ???????? ????????????? ??????. ??????? ?? ????? ??????? ???????? ??????, ?? ?????? ????? ?????? ? ?????. ?????? ????? ???????? ??????????. ??????? ???-???? ?????????? ?????, ?? ??? ????????? ?? ??????????? ?? ????? ???? ? ??? ????? ??????????, ?? ? ????? ? ????? (?? 5 ??) ??????? ????? ?????? (????????????) ??????????: ????? 2 ?? ?????????? ????? ??????? ??? ? ???? ??????????, ?? ?????? ?? ????????. ??????? ??????? ????????, ?? ??? ?? ????????.",5
37,"??????? ???????? ??????? ??? ?????? ??? ?? ??????? ??? ??????? ???????(?????? ?????????? ?????? ?????? ? ??????) ???????????: ????, ??????? ??????, ??????? ??? ?????????? ???????????? ?????? ?? 1 ?????, 2 sim-??????, ??????, mp3-????? ?? ???????? ?????, ??????????: ??? ????? ???? ? ??????? ????????? ????????? ???????? ?????? ?? ?????? ????? ?????..",5
38,"??????? ?? 299 ???. ? ????? ??????? - ???? ???? ?? ?????, ??? ?????, ??? ? ???? ????? ?????????????? ???-????? ????? ? ???????? ? ?????????? ????????????. ? ??????? ?? ????????, ?????? ?? ?????? ????? ??? ?????????????. ?????? ?? ???? ??????? ? ???? ????, ??? ??? ?? ?????? ????? ?? ?????????? ????????? ?? ?????? ?? ???????. ???????? ???????. ????????? ? ???? ???, ?? ??????? ???? ???? ?????? ?? ??????????? ?? ???????. ???????? ????? ??????? ? ?????????? - ??? ????? ???????. ?? ? ??????? ??????????. ????????? ????????? ?????. ??????????.",5
39,"???????? ????????. ??? ??????? ??????????, ??????, ??? ??????? ?, ??? ????? ?? ??????? ? ??????? ?????????, ????? ???? ?? ?????. ??????? ?? ????? ???? ?????, ????? ???????, ???????????, ????? ??????????, ??? ? ?? 2 ???-?????. ?????? ?????, ??? ??? ??????. ? ???? ????? 300 ??? ?? ??????. ? ?? ????????. ??????? ????? ???????. ?? ????? ???????? ???????? ??????????? ???????. ???????? ?????? ????????, ??????? ????, ??? ??????? ??????? ????? ? ?????? ?? ????. ?????????? ?? ?? ???. ??????? ??????? ??????, ????????? ???????? ???????, ? ??? ????? ????? ???????????, ??????? ?????? ?? ???????? ? ??????? ????? ? ???? ????????? ?? ????????. ??? ?????? ?? ???????? ???????? ?? ????? ???????. ????????? ???????. ?????? ?????? ??????????. ????? ???????? ????????, ???? ? ????????? ??????. ??????? ?????? ??????. ? ????? ??? ????????, ???? ????? ??????? ?????? ??????, ?? ???? ????? ?????. ?? ?????????.",5
40,"????? ??? ????? ????? 5 ?????????, ??? ???????? ???? ???????, ??? ????????. ???????????? ? ??????? ??? ?????? ?? ??????, ???????? ????????????, ?????? ?????????, ????????? ?????. ??????? ???! ???????????: ??????????, ???????, ?????????, ????? ?????? ????? ??????????: ???? ?? ??????????",5
41,????),5
42,"???????? ???????, ????????? ?????????? ? ?????? ????????? ???????, ???????? ?????????. #????????????? ???????????: ??????? ??????, ???????, ??? ????????, ???? ??????????: -",5
43,"#??????????????????????? ???? ???????, ?????? ? ??????, ??? ???? ???????(?? ??? ? ?? ????? ????) ?????? ?? ??? ?????! ???? ? ???, ??? ?????? ??????? ? ????? ???????, ??????? ????? ? ?????????, ??? ?????? ???????? ???. ?????, ? ???? ??????? ????? ???????? ?????? ????? ???? ???, ??? ?????? ??? ?? ??? ????. ????? ????, ? ??? ???? ??????? ?????, ??????? ?????, ???????, ? ?? ?????????? ??????? ?????, ??????, ??? ??? ????? ???????? ????????! ? ? ???? ??????, ??????, ???? ?????????? ???????. ?????????, ??????? ?? ?????????! ???????????: ????, ???????? ?????? ?????. ??????????: ??? ????? ???? ?????? ???-?? ???????...",5
44,"???? ????????? ? ????????. ???? ???????? ??????, ?????????? ???????, ???????? ?????????? ??????? ? ?????? ???????. ????? ?????? ??????????? ?? ????? ???????. ????? ???????, ????????? ?? ????????. ?? ????????? ???? ??????? ???, ??? ??? ????? ??????? ??????? ???????????? ??? ?????????????. ??????, ???? ?????? ???????, ?? ?????? ????????????? ? ???. ? ???? ?? ???? ? ?????????? ? ?????????. ?????????? ?????!",5
45,?????????? ????? ??? ? ????????? ????????,5
46,"???????? ???????. ????? ??????? ?? ??????? ??? ????? ????????. ??????????? ?????? ??????, ? ??????????? ?????? 5-6????. ???????????: ??????? ??????? ????? ???????, ?????? ???????.",5
47,"??????? ?????????? ????? ???????? ? ????????? ???????. ????? ?????????? ??? ??? ??????????????. ???????????? ?????,- ????? ????????? ????????, ????? ???? ???????, ??? ???? ??? ???? ????????. ? ????? ????????. ???????????: ??????? ????????, ???????? ??????, ??????????? ?????? ??????????: ?????????? ???????",4
48,"????????? ????????? 4 ??? ???????????: ???? ??????????: 1. ????? ?????? ???????????, ??????? ???????? ?? 2 ?????;2. ??????? ??????????????, ????? ?????? ????????, ? ??????? ?????????, ????? ????, ??? ??????? ?????????? - ?????? ??? ??????????;3. ?? ???????????? ????????? ?????",2
49,"?? ??????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ???????????: ????,???????? ??????????: ???? ??????? ????? ??????? ???? ??????? ??? ?? ???????? ??? ? ?? ?????? ??????.????? ? ????????? ???????? ?? ???????? ?? ????? ?????? ??????( ?? ??????? ?????? ???? ????????? ??????? ?? ???????????? ????? ) ??? ?????????? ?????? ?? ??? ??? ??????? ????????...??? ?? ?? ???? ?????? ????? ? ??? ??????????? ??????? ??????? ?? ????......",2
50,"??????? ???????????? ??? ?? ?????? ??? ? ??? ?????????, ??????? ??? ????? ?????? ?? ??????? ?????, ?????? ??? ??????. ???????? ?????? ??? ???????????: ????, ?????? ??????????: ?????",2
51,"??????? ?????? ??? ???????, ?? ??????? ????? ?????? ???????????: ?????????, ??????? ??????????: ???? ?????? ???????",2
52,"?? ????, ??? ??????? ????? ????????? ??? ??? ????? ?????????, ??: ??????????? ?????? ?? ????? ???? ????. ? ??? - ???? ??? ??????????, ???????? ????? ?? ?????????????? ??????? ?????????; ??: ?? ??????? 1-9 ?????????? ?????? ???????, ?????? ?? ????????? (???? ?? ???? ??????), ?????? ????? ????????? ??????. ????????? ?????? ?????????? ? ???????? ??????????? ?????? ???????, ????????, ??? ????????? ??????? ???????? ??????, ?? ?????. ???????????: ?????????, ??????? ???? ??????????: ???????????, ????????",2
53,"??????? ??????????????, ? ??? ????? ????????. ?????? ? ?????? ????? 1 ??? ?????????????, ???????? ??? ? ?? ?????, ? ?? ??? ????? ?????? ? ?? ??????????. ???????????: ???? ? ??????? ??? ??????????: ??????? ??? ????????? ??????????????, ????????? ????????? ?????????, ????? ?????? ???????, ????? ??????? ??????????????? ???\???? ????? ?????? ?? ??????????, ???? ? ????? ??????.",1
54,"??????????? ?????? ???????????: ?? ??? ??????????: ?????? ???????????,??????,",1
55,"??????? ??? ?? ???? ??????????, ???? ?? ?? ???????????. ????? ????? ???????? ?????? ??????????? - ??????? ????? ????? ????????, ???? ????? ?? ?????. ????? ?? ??????. ?????? ????? ???????? 2 ???, ??????????? ??????????? ??? ????????? ??????? ????????... ?? ???? ?????? ?? ?????.???????????? ????? , ?????? ??? ?? ?????????? ? ????? ??? ??????? ???????????: ??? ??????????: ???? ? ?? ?????? ? ???????? ????????????",1
56,"??????? ??????? ??? ?????????? ? ???. ????? ??????? ? ????????? ? ?????? (?? ?? ??). ???? ? ????????? ??? ? ???? ??????????? - ???????????. ????????: ???????, ???????, ???????? ??????????, ??????? ? ??????????? ?????.??? ????? ?????? ????? ??????????? ? ????????. ???? ??????????. ???????????: ??? mini-sim (???????????). ??????? ? ????? ???????. ?????????? ?????? ???? ??????? ? ? ??????????? ????? ???????. ???????? ?? ?????. ?? ???????? ?? ???. ??????. ??????????: ?? ?????????? ??????? ?? ?????????? ? ??????? ????. ?????? ?????. ??? ??????? ????? ?? ????????. ?????????? ???????. ?? ??????? ??????? ????????. ????? ???? ??????? ??? ??? ?????????? ?????? - ?? ???? ??? ?????????? ????? ??????? ? ??? ??? ????????. ??????? ????????? ????. ????? ?????? ???? (??? 32?? ???????? ????????).",5
57,"?????????? ????????! ? ????? ????? - ????????? ?????? ????????? ????? ? ???? ????? ??????????. ????? ??? ??? ??????. ????????? ??????? ????????????. ?????????? ??????? ??????????????? ????????? ? ?????????? ???????? ??? ???????? ?????? ???????. ????????? ??????? ????????? ??? ????????????? ????? - ?? ? ???? ??????????? ????? ??????? ????? ????????? ??????, ? ?????????? ?? ??????? ?? ??????. ? ??????? ? ????? ?????? ?????? ????? ??????, ??? ????????, ??? ? ??????? ???????? ??? ?? ? ???? ?????? ?????????.????? ????? ???????! ????? ???? ?????????? ????????????? ???? ? ?????, ? ????? ??????? ?? ?????? ( ????, ???????, ????? ?????? ???? ????????)??3-????? ??????????? ???? ? ?????????? ????????.??? ???, ???? ?? ?????????? ?????????????? ??????? ( ?? ?????? ????? ), ? ?????? ??????????????? - ??????????! ???????????: ????, ??????? ??? ??????????: ? ?????????? ????? ? ??????? ???????? ??????? ?????? 10 ????????, ?????? 1 ????? ?? ????????, ??? ???????????, ? ???????????? ?????? ?????",5
58,??????? ????????????? ?? ???? ???????! ??? ????? - ?? ??? ?? ????? ?? ????????! ??????????! ???????????: ??? ??????? ??????????: ????,5
59,"??????? ?? ???? ???? ?????? ????????, ???????????? ?????????? ???????? ????? ??????, ?? ???? ??? ????? ?????? ?????????? ??????? ?????? ???? ????????? ?? ??????. ?? ???? ?????? ?? 16 ???????? ?????? ??? ???????. ??? ??????? ???????? ???????. ???? ??????, ???????, 2 ?????, ?????. ???????????? ??? ?? ??? ??? ?? ????????? - ??? ?????? ????????? (????????? ???????? ???????, ?? ??? ???? ?? ??????????). ? ????? ?????????? ????????. ?????? ?? ??? ? ?????? ???? ?? ???????. ???????????: ?????????, ??????? ??????????: ???? ????? ??????",5
60,??????? ??? ????? ???? ?????? ??????????????? ? ????? ????? ??? ??????? ???????????: ???? ? ???????? ?????? ??????????: ?? ??????????,5
61,"???????? ???????? ??3 ?????. ??? ??? ????????? ????????, (???????????? ?? ?????? ? ""????"", ?????? ?????? ? ?? ?????. ? ??? ??? ????????, ??? ???? ??????, ??? ???? ???? ??? ????! ???????????: ??????? ?????. ??????? ??????????. ???? ??? ???? ??????. ??????????: ???? ?? ???????",5
62,"??????? ?????????? ? ?????????? ????????),?????????? ????????? ??????,??? ????????, ? ?? ????. ??? ??? ?????? ?? ?? ??????????, ? ??????),?????? ? ???? ??? ????????. ???????????: ???? ??????????: ????????",4
63,"???????? ????????? ???????, ?????? ??? ???????? ? ????? ????????, ? ????????? ???????? ??????? ???????, ??????? ?? ?????. ????? ?? ????, ???????? ????? ? ????????? ??????????! ?????? ?????????? #????????????? , ??????? ? ????? ?? ????... ???????????: ????, ?? ??????, ??????? ??????????: ?????? ???, ?????? ?????",4
64,"?????????? ???????, ? ????? ???????? ??? ?????? ??????? :-). ? ?????????? ?? ???????, ?? ?? ???? ??? ? ???? ????? ??????????. ????? ?????? ? ???? ????? ""????"" ???????????: ??????? ????? ?? ????? ??????, ????????. ??????????: ???????? ???????????, ??? ??????? ??? ??, ""???????"".",4
65,"???? ??????? ?????????! ???????????: ???????? ??????????: ?????? ???????, ??? ?????",4
66,"??????? ??????, ???????? ????? ????, ?????? ????, ?? 67 ?????, ???????????? ??? ???????, ???? ??????????",5
67,??????? ???????. ???????????: ??????? ? ?????? ??????????: ???? ?? ????????,5
68,"? ????? ???????? ??????. ???????? ??????, ??????? ?????? ?? ??????? ?? ???????? ????? ?? ???????. ??????????? ?????????? ??? ?????.?? ??????? ?? ??????????? ??, ??? ??? ????? ?????? ?????? ???? ???? ???????. ???, ??? ???? ?????? ??????? ??????? ??????????? ????? ?????? ? ????.#????????????? ???????????: ????????, ??????, 2 sim, ???? ??????????: ?????????? ?????????? ??????",4
69,"?????, ?.?. ????? ??? ??????? ??????? ?? ??? ?????. ??????? ??? ?? ??????, ? ? ???? ??????? ??????? ???????????. ? ?????????? ???????? ????? ????, ??? ?? ????????, ?????? ??? ???? ????? #????????????? ???????. ???????????: ??? ?????? ?? ?????????? ?????? ??????????: ????? ?????? ??????????, ????? ??? bluetooth ? ?????? ?? 0.3?? - ?? ????.",4
70,"? ???, ?????, ?? ?? ???. ? ????? - ????????????? ?? ????. ?? ????? ?????? ??????? ???????? ?? 100%. ??? ???, ????. ??? ??? ???? ??? ???????? - ??? ??? ? ??? ??????, ??? ??????. ???????? ???????. ??????? ????????, ????? ???????, ?????? ??? ?????. ?????? ??? ????????? ?????? ? ?????????? ???????, ?? ?? ??? ???? ?? ????????. ?? ????? ?????????? ? ??????????, ???????? ????? ?????????. ????? ????? ?? ???? ?????, ???? ??? ?????????. ???? ??????? ?????? ????? ?????????. ??????? ??????. ????? ?????. ? ?????? ?????????. ????? ?????? ??????? ? ?????. ???????????: ??? ???, ?????????, microsd, ??????? ???????, ?????????? ??????? ?????, ????, ???????, ????????. ??????????: ??????????? - ????? ????????? ?? ????????.",4
71,"??????? ????????. ??????? ??????? ???????? ??? ?? ???? ???????? ????????? ????? ? ????????? ??????? ???????? ?????? ?? ?????. ???? ? ???????? ?? ???? ?? ???????. ??????????: ???? ?????? ??????? ??3 ?????? ???? ??????,????? ??? ???? ?? ??????? ??????? ???? ??????? ?????? ???????.",4
72,?????? ????? ?? ??????. ???????????: ??????? ??????????: ??????????? ??????!,3
73,"?????? ???? ?? ???????? ????????,??????? ??????,-????? ?? ????? ????????? ?????? ? ???? ?????????? ???????????. ???????????: ?? ????? ???? ???????.??? ?? ??????? ???? ? ???? ?????? ???? ???????? ??? ???????? ??????????? -????? ??????? ?????? ??????????: ?????? ? ???? ? ????????????? ????????? ??? ?? ? ????? ?????? .????? ??? ????????? ???????? ?? ??? ?? ???? ???????? ??????",3
74,"??????? ?? ?????? ? ???, ?????? ???? (??????? ?? ????????)! ???????????: ???????? ??? ??????????: ?????",2
75,????? ??????????????-??????? ??? ? ?????? ? ??????????? ???? ???????????: ??? ??????????: ????,1
76,"?????????? ??? ??? ????????? ????? ????. ?????? ??????? ????? ????????? ?????? ?????????? ?????????. ????? ??? ????? ??????? ??? ?????. ??? 10-?? ??????? ??? ?????, ??????. ? ????? ????????? ???. ???????????: ?????? ??????????: ???? ???????",5
77,"??? ??????? ??? ????????? ???? ??????? - ????????? ???????. ?????? ???????, ???? ????? ??????????? ??????. ????????, ???? (??????) ??????? ????? ??? ?? ?????. ?????? ?????????? ??????????? ????????? ??, ??? ??????? ?? ???????????? ?????????. ?????? ??????? ????????. ?? ??? ?????? ?? ????????? ? ????? ??????. ???????????: ?????????? ???????, ?????? ???? ????? ???????? ??????, ??????? ?????? ??????????: ???? ?????????, ?????????? ???????? ? ??????? ?????????",5
78,"??????? ??????? ???????????: ??????, ??????, ??????, ?????????????????, ????????? ??????????: ????",5
79,"??????? ??????????. ???????????? ?? ?????? ?????????? ? ????. ??? ????????? ??? ???????? ?? ????? ?????????. ????? ?????????? ????????? ?????????? ??????. ?? ??? ???????, ??? ?????????? ?????????? ? ????? ??????? ?? ???????? (??? ??????????? ????? ????) ??????????? ????? ??????????. ?????? ????????. ???? ?????? ?????. (???? ???? ? ??????). ?????? ??? ???????? ???. ??????? ??? ??????????? ?? ??????, ? ????? ??? ????????? ??????? ? ???????. ??????? ? ???? ?????? ??????? ??????? ???????. ???????????: ??? ??????????: ????? ???????? ? ?????? ??????",5
80,"???????? ??????? ?? ???? ??????. ??????? ??? ??????????, ???? ????????. ???????????: ????",5
81,"??????? ???????. ???????? ????? ????) ????, ?? ?? ?/?.) ???????????: ????????????? ? ??????????, ????????. ??????????: ????????",5
82,"?????? ??????. ??????? ?????, ?????????.??????????? ?? ?????. ?????? ?????????? ??????. ????? ??? ???? ??????????????? ???????????: ???? ??????????: ????",5
83,"??? ?? ??? ??????? ????? ?????????!!! ???????????: ????!????????? ????? ???????! ??????????: ????? ????????? ???????, ?????? ??????, ????, ???",4
